Campaign_ID,Campaign_Name,Channel,Date,Impressions,Clicks,Conversions,Cost/Ad Spend,Revenue Generated,Customer Acquired,Region,Audience Segment
CMP_017,Google Ads - Promo 17,Google Ads,2025-01-17,19162,385,16,1881.06,802.6,13,North America,Students
CMP_002,Twitter - Promo 2,Twitter,2025-01-18,18109,336,28,153.79,3424.77,22,Latin America,Students
CMP_005,Instagram - Promo 5,Instagram,2025-01-18,3857,104,16,56.08,4016.84,15,Latin America,Young Adults
CMP_010,Instagram - Promo 10,Instagram,2025-01-18,6910,169,23,627.24,3476.26,22,North America,Students
CMP_017,Google Ads - Promo 17,Google Ads,2025-01-19,22497,530,15,2517.66,602.15,13,Latin America,General
CMP_019,Google Ads - Promo 19,Google Ads,2025-01-19,11107,206,19,1106.77,1879.31,17,Europe,Professionals
CMP_004,Email - Promo 4,Email,2025-01-20,10441,604,14,1464.22,4320.79,13,Latin America,Retirees
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-20,12332,279,34,1021.77,549.2,27,North America,Young Adults
CMP_004,Email - Promo 4,Email,2025-01-21,12484,734,12,1998.87,3537.16,11,Europe,General
CMP_010,Instagram - Promo 10,Instagram,2025-01-21,7232,242,29,874.76,3382.21,26,Europe,Students
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-21,9841,298,46,1221.1,653.7,37,Latin America,Students
CMP_020,Instagram - Promo 20,Instagram,2025-01-21,4371,171,14,1145.02,1286.1,13,Middle East,Young Adults
CMP_020,Instagram - Promo 20,Instagram,2025-01-21,5645,214,12,1465.73,862.9,11,Europe,General
CMP_008,Facebook - Promo 8,Facebook,2025-01-22,20945,222,8,393.57,307.83,6,North America,Students
CMP_011,Facebook - Promo 11,Facebook,2025-01-22,10800,259,22,446.18,4712.35,21,Latin America,Young Adults
CMP_013,Google Ads - Promo 13,Google Ads,2025-01-22,16583,672,16,3182.56,2267.77,13,Latin America,Professionals
CMP_020,Instagram - Promo 20,Instagram,2025-01-22,7165,343,29,3311.24,1513.4,26,Middle East,Retirees
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-01-23,10083,511,60,1375.53,13073.09,57,Latin America,Retirees
CMP_013,Google Ads - Promo 13,Google Ads,2025-01-23,14893,595,21,2919.76,3002.45,20,Asia-Pacific,Students
CMP_015,Instagram - Promo 15,Instagram,2025-01-23,7554,462,34,2158.42,2061.09,27,Asia-Pacific,Retirees
CMP_015,Instagram - Promo 15,Instagram,2025-01-23,6464,470,34,3409.52,1839.14,30,North America,Young Adults
CMP_002,Twitter - Promo 2,Twitter,2025-01-24,15383,268,23,132.96,2998.29,19,North America,Professionals
CMP_008,Facebook - Promo 8,Facebook,2025-01-24,11593,134,6,255.49,169.33,5,Middle East,General
CMP_009,Facebook - Promo 9,Facebook,2025-01-24,20467,868,71,3347.13,3239.09,69,North America,Students
CMP_012,Twitter - Promo 12,Twitter,2025-01-25,15552,911,148,3646.8,7913.7,141,Asia-Pacific,Students
CMP_006,Instagram - Promo 6,Instagram,2025-01-26,20230,1027,109,3566.58,14972.93,95,Latin America,General
CMP_013,Google Ads - Promo 13,Google Ads,2025-01-26,14763,625,14,2720.15,1508.78,11,Europe,General
CMP_001,Twitter - Promo 1,Twitter,2025-01-27,6182,312,13,198.82,1234.14,10,Europe,Retirees
CMP_005,Instagram - Promo 5,Instagram,2025-01-27,9506,207,19,132.32,4291.39,16,North America,Retirees
CMP_007,Email - Promo 7,Email,2025-01-27,6818,222,23,1069.96,2162.04,19,Asia-Pacific,Retirees
CMP_008,Facebook - Promo 8,Facebook,2025-01-27,14610,229,12,407.29,410.03,10,Asia-Pacific,Retirees
CMP_008,Facebook - Promo 8,Facebook,2025-01-27,10151,125,5,245.13,154.73,4,Middle East,General
CMP_009,Facebook - Promo 9,Facebook,2025-01-27,16483,609,55,2578.07,2724.63,52,Europe,Retirees
CMP_013,Google Ads - Promo 13,Google Ads,2025-01-27,11062,472,11,2316.5,1528.08,10,Middle East,Students
CMP_012,Twitter - Promo 12,Twitter,2025-01-28,13031,878,140,3765.82,7865.51,114,Asia-Pacific,Retirees
CMP_015,Instagram - Promo 15,Instagram,2025-01-28,6832,348,25,2559.63,830.01,20,Europe,Professionals
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-01-28,9876,294,32,1273.32,604.17,28,Middle East,General
CMP_017,Google Ads - Promo 17,Google Ads,2025-01-28,21082,374,17,1917.59,1485.07,14,Europe,General
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-01-29,20049,997,95,2195.39,25580.76,79,Latin America,General
CMP_011,Facebook - Promo 11,Facebook,2025-01-29,14715,461,28,769.26,4943.07,25,Middle East,Students
CMP_012,Twitter - Promo 12,Twitter,2025-01-29,13657,685,70,2884.0,4584.52,68,Latin America,General
CMP_020,Instagram - Promo 20,Instagram,2025-01-29,6563,231,20,1624.79,1950.95,19,Europe,Retirees
CMP_008,Facebook - Promo 8,Facebook,2025-01-30,16854,236,12,444.15,494.4,11,Middle East,Retirees
CMP_011,Facebook - Promo 11,Facebook,2025-01-30,13641,366,36,631.51,6737.57,29,North America,General
CMP_019,Google Ads - Promo 19,Google Ads,2025-01-30,16641,290,48,1726.23,3520.52,46,Middle East,Students
CMP_020,Instagram - Promo 20,Instagram,2025-01-30,7588,299,19,2482.16,967.44,18,Europe,Retirees
CMP_002,Twitter - Promo 2,Twitter,2025-01-31,14774,217,18,95.85,2308.24,15,Latin America,General
CMP_017,Google Ads - Promo 17,Google Ads,2025-01-31,17187,286,11,1471.6,965.99,9,Middle East,Students
CMP_019,Google Ads - Promo 19,Google Ads,2025-01-31,23115,389,56,2388.11,4330.17,49,North America,Young Adults
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-02-01,12786,590,76,1578.87,14102.56,73,North America,Retirees
CMP_010,Instagram - Promo 10,Instagram,2025-02-01,8647,222,36,754.94,5379.64,29,Europe,Professionals
CMP_013,Google Ads - Promo 13,Google Ads,2025-02-01,14749,669,15,2905.57,2020.84,12,Asia-Pacific,Retirees
CMP_008,Facebook - Promo 8,Facebook,2025-02-02,14839,202,8,343.68,289.32,6,Asia-Pacific,Young Adults
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-02-02,10284,275,50,965.34,882.47,47,Asia-Pacific,Students
CMP_017,Google Ads - Promo 17,Google Ads,2025-02-02,18850,367,16,2290.29,934.28,15,Europe,Professionals
CMP_013,Google Ads - Promo 13,Google Ads,2025-02-03,15012,643,19,3132.18,2586.37,16,Asia-Pacific,Professionals
CMP_014,Twitter - Promo 14,Twitter,2025-02-03,10926,625,39,2816.27,4404.4,31,North America,Young Adults
CMP_014,Twitter - Promo 14,Twitter,2025-02-03,11315,597,38,2630.47,3470.9,37,Asia-Pacific,Young Adults
CMP_002,Twitter - Promo 2,Twitter,2025-02-04,22782,293,21,122.3,2602.0,19,Latin America,Professionals
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-02-04,15540,904,97,1978.9,20097.32,85,Asia-Pacific,Retirees
CMP_008,Facebook - Promo 8,Facebook,2025-02-04,20485,224,9,417.35,263.78,7,North America,Students
CMP_012,Twitter - Promo 12,Twitter,2025-02-04,12386,595,80,2543.02,4898.38,78,Europe,Students
CMP_015,Instagram - Promo 15,Instagram,2025-02-04,9084,594,63,2873.12,2460.48,54,Latin America,Retirees
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-02-04,8331,196,37,848.3,724.38,34,Europe,General
CMP_006,Instagram - Promo 6,Instagram,2025-02-05,10934,611,64,2136.14,6700.32,62,Middle East,Young Adults
CMP_007,Email - Promo 7,Email,2025-02-05,8468,225,29,1007.33,2406.59,23,Latin America,Students
CMP_007,Email - Promo 7,Email,2025-02-05,7518,244,27,1199.69,2142.37,24,Asia-Pacific,Professionals
CMP_012,Twitter - Promo 12,Twitter,2025-02-05,14219,663,81,2641.51,4686.13,71,Middle East,Students
CMP_012,Twitter - Promo 12,Twitter,2025-02-05,15381,935,134,4043.64,9632.34,110,Europe,Professionals
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-02-05,14399,384,45,1963.0,1073.33,36,Europe,Young Adults
CMP_017,Google Ads - Promo 17,Google Ads,2025-02-05,21604,414,21,2356.86,1664.97,17,North America,Students
CMP_004,Email - Promo 4,Email,2025-02-06,13916,938,22,2243.11,7773.94,18,Middle East,Young Adults
CMP_013,Google Ads - Promo 13,Google Ads,2025-02-06,14678,644,18,3096.38,2627.71,16,Latin America,Students
CMP_018,Email - Promo 18,Email,2025-02-06,11779,1093,91,6823.71,6723.27,80,Middle East,Professionals
CMP_004,Email - Promo 4,Email,2025-02-07,11035,737,11,1862.27,2876.11,8,Middle East,Professionals
CMP_012,Twitter - Promo 12,Twitter,2025-02-07,13667,818,95,3149.6,6357.33,94,Asia-Pacific,Retirees
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-02-08,14585,636,79,1719.38,15304.25,69,Latin America,Young Adults
CMP_006,Instagram - Promo 6,Instagram,2025-02-08,20157,944,151,3250.68,18603.33,127,Latin America,Students
CMP_011,Facebook - Promo 11,Facebook,2025-02-08,13204,354,25,654.9,5498.45,21,Middle East,Professionals
CMP_017,Google Ads - Promo 17,Google Ads,2025-02-08,17850,390,15,2890.49,979.49,12,North America,Students
CMP_011,Facebook - Promo 11,Facebook,2025-02-09,12485,404,25,746.15,5054.13,20,Europe,Students
CMP_013,Google Ads - Promo 13,Google Ads,2025-02-09,11294,430,8,1903.41,931.44,6,Europe,Professionals
CMP_015,Instagram - Promo 15,Instagram,2025-02-09,7373,416,33,2858.3,1652.1,27,Asia-Pacific,Professionals
CMP_012,Twitter - Promo 12,Twitter,2025-02-10,10777,680,110,2660.62,6159.89,102,Middle East,Young Adults
CMP_012,Twitter - Promo 12,Twitter,2025-02-10,8017,465,75,1913.2,4498.41,69,Asia-Pacific,General
CMP_013,Google Ads - Promo 13,Google Ads,2025-02-10,17355,650,15,3114.1,2071.71,12,Asia-Pacific,Retirees
CMP_014,Twitter - Promo 14,Twitter,2025-02-10,12755,791,73,3611.9,6461.71,63,Asia-Pacific,Retirees
CMP_015,Instagram - Promo 15,Instagram,2025-02-10,6365,361,35,2208.01,1660.45,29,Latin America,General
CMP_018,Email - Promo 18,Email,2025-02-11,13275,1142,93,9063.48,6554.23,77,North America,Retirees
CMP_009,Facebook - Promo 9,Facebook,2025-02-12,26104,781,65,3447.36,3376.4,57,Europe,Retirees
CMP_012,Twitter - Promo 12,Twitter,2025-02-12,9099,499,56,1918.44,2783.59,52,Europe,General
CMP_013,Google Ads - Promo 13,Google Ads,2025-02-12,15148,480,15,2057.53,2121.9,13,North America,Young Adults
CMP_014,Twitter - Promo 14,Twitter,2025-02-13,10701,561,36,2736.49,3469.25,32,North America,Professionals
CMP_018,Email - Promo 18,Email,2025-02-13,11634,820,68,4880.46,5203.32,58,Asia-Pacific,Retirees
CMP_019,Google Ads - Promo 19,Google Ads,2025-02-13,15104,230,24,1449.04,1894.8,19,North America,Students
CMP_017,Google Ads - Promo 17,Google Ads,2025-02-14,12084,293,15,1994.6,903.02,13,Latin America,General
CMP_019,Google Ads - Promo 19,Google Ads,2025-02-14,19893,414,50,2707.35,5164.63,45,North America,Professionals
CMP_020,Instagram - Promo 20,Instagram,2025-02-14,5903,275,16,2374.99,1387.53,15,Asia-Pacific,Retirees
CMP_002,Twitter - Promo 2,Twitter,2025-02-15,17561,286,24,108.99,2996.26,23,Middle East,Professionals
CMP_013,Google Ads - Promo 13,Google Ads,2025-02-15,11295,454,11,1956.48,1379.5,9,North America,Retirees
CMP_020,Instagram - Promo 20,Instagram,2025-02-15,7835,333,28,2788.6,2687.07,26,Europe,Retirees
CMP_002,Twitter - Promo 2,Twitter,2025-02-16,22676,421,39,180.81,3785.53,31,Europe,Professionals
CMP_002,Twitter - Promo 2,Twitter,2025-02-16,19416,349,25,121.91,3082.17,20,Asia-Pacific,Professionals
CMP_004,Email - Promo 4,Email,2025-02-16,12474,940,21,2023.29,5308.72,20,Europe,Students
CMP_007,Email - Promo 7,Email,2025-02-16,7212,218,22,1064.62,1782.24,17,Middle East,Students
CMP_001,Twitter - Promo 1,Twitter,2025-02-17,6051,360,18,268.86,1079.54,17,Europe,Professionals
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-02-17,14520,785,81,1863.0,20066.9,65,Latin America,Young Adults
CMP_004,Email - Promo 4,Email,2025-02-17,14639,1056,28,2506.94,8990.34,27,Latin America,Retirees
CMP_006,Instagram - Promo 6,Instagram,2025-02-17,15655,670,62,2754.18,6626.57,55,Middle East,General
CMP_009,Facebook - Promo 9,Facebook,2025-02-17,17088,521,45,2282.07,2328.91,36,Asia-Pacific,Students
CMP_017,Google Ads - Promo 17,Google Ads,2025-02-17,16112,315,11,1450.75,816.8,9,Latin America,General
CMP_010,Instagram - Promo 10,Instagram,2025-02-18,7903,239,34,764.64,4871.33,32,Latin America,Students
CMP_014,Twitter - Promo 14,Twitter,2025-02-18,5897,341,26,1425.37,2207.67,23,North America,Professionals
CMP_015,Instagram - Promo 15,Instagram,2025-02-18,7058,354,33,2953.9,1117.75,26,Middle East,Students
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-02-18,13335,365,66,2015.74,1024.13,60,Middle East,Students
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-02-18,13298,306,52,1268.66,953.41,47,Latin America,Students
CMP_017,Google Ads - Promo 17,Google Ads,2025-02-18,25646,557,17,2798.11,1710.69,15,Latin America,Professionals
CMP_019,Google Ads - Promo 19,Google Ads,2025-02-18,16058,305,38,1726.92,2257.5,30,Middle East,Professionals
CMP_019,Google Ads - Promo 19,Google Ads,2025-02-18,14428,236,33,1712.35,1622.35,29,Middle East,Students
CMP_008,Facebook - Promo 8,Facebook,2025-02-19,20094,216,10,413.86,361.05,8,Europe,Professionals
CMP_008,Facebook - Promo 8,Facebook,2025-02-19,15489,240,11,455.02,424.64,10,North America,Retirees
CMP_010,Instagram - Promo 10,Instagram,2025-02-19,8470,287,50,1032.19,6345.21,44,Europe,Young Adults
CMP_014,Twitter - Promo 14,Twitter,2025-02-19,12993,709,44,3556.98,4457.01,41,Europe,General
CMP_018,Email - Promo 18,Email,2025-02-19,10390,764,63,5546.09,7187.63,59,Latin America,Professionals
CMP_020,Instagram - Promo 20,Instagram,2025-02-19,6827,320,26,2849.28,1715.15,23,Europe,Retirees
CMP_001,Twitter - Promo 1,Twitter,2025-02-20,7346,432,17,394.65,1437.07,14,Latin America,Professionals
CMP_009,Facebook - Promo 9,Facebook,2025-02-20,19174,671,61,2996.28,3112.62,57,Asia-Pacific,General
CMP_011,Facebook - Promo 11,Facebook,2025-02-20,12173,282,19,515.46,3032.67,17,Asia-Pacific,Professionals
CMP_014,Twitter - Promo 14,Twitter,2025-02-20,12593,609,38,2546.01,3206.35,32,North America,Retirees
CMP_014,Twitter - Promo 14,Twitter,2025-02-20,10505,638,37,2916.14,3551.39,31,North America,General
CMP_019,Google Ads - Promo 19,Google Ads,2025-02-20,14276,274,33,1749.48,2422.11,30,Middle East,Young Adults
CMP_020,Instagram - Promo 20,Instagram,2025-02-20,5382,181,10,1541.58,1073.86,8,North America,Young Adults
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-02-21,15137,756,99,1553.27,17913.23,86,Asia-Pacific,Professionals
CMP_010,Instagram - Promo 10,Instagram,2025-02-21,12202,323,45,1034.17,5284.82,39,North America,Retirees
CMP_013,Google Ads - Promo 13,Google Ads,2025-02-21,13655,502,14,2371.93,1654.53,11,Latin America,Young Adults
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-02-21,9424,238,42,935.23,966.18,34,Europe,Students
CMP_017,Google Ads - Promo 17,Google Ads,2025-02-21,19520,327,15,2024.3,567.45,14,Middle East,Professionals
CMP_019,Google Ads - Promo 19,Google Ads,2025-02-21,11512,238,39,1176.75,3108.24,36,Asia-Pacific,General
CMP_008,Facebook - Promo 8,Facebook,2025-02-22,10078,149,8,272.08,278.5,6,Asia-Pacific,General
CMP_015,Instagram - Promo 15,Instagram,2025-02-22,5947,423,43,2364.63,2881.42,36,Middle East,General
CMP_019,Google Ads - Promo 19,Google Ads,2025-02-22,12694,274,47,1983.4,3189.53,42,North America,General
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-02-23,11264,478,59,1294.9,10126.35,50,Asia-Pacific,General
CMP_008,Facebook - Promo 8,Facebook,2025-02-23,19220,279,13,459.02,377.83,11,Europe,Retirees
CMP_017,Google Ads - Promo 17,Google Ads,2025-02-23,20888,383,13,2209.33,935.68,10,Latin America,Students
CMP_020,Instagram - Promo 20,Instagram,2025-02-23,7392,269,24,1997.25,2252.05,22,Europe,Professionals
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-02-24,9777,416,59,1056.5,9911.59,56,Latin America,Young Adults
CMP_004,Email - Promo 4,Email,2025-02-24,11684,866,22,2896.25,6047.93,17,Middle East,General
CMP_006,Instagram - Promo 6,Instagram,2025-02-24,15993,718,73,2731.14,7714.38,70,North America,General
CMP_007,Email - Promo 7,Email,2025-02-24,5113,126,16,578.27,1422.7,14,Europe,Professionals
CMP_012,Twitter - Promo 12,Twitter,2025-02-24,11443,780,97,3276.51,4958.73,79,North America,Young Adults
CMP_002,Twitter - Promo 2,Twitter,2025-02-25,20480,284,18,146.82,2411.29,16,Latin America,Professionals
CMP_006,Instagram - Promo 6,Instagram,2025-02-25,12643,581,65,2118.05,7532.35,64,Latin America,Retirees
CMP_009,Facebook - Promo 9,Facebook,2025-02-25,13102,414,29,1737.69,1640.85,25,Latin America,Retirees
CMP_009,Facebook - Promo 9,Facebook,2025-02-25,18863,626,57,2889.42,2477.27,53,Middle East,General
CMP_012,Twitter - Promo 12,Twitter,2025-02-25,12479,585,93,2364.0,5059.62,91,Europe,Retirees
CMP_017,Google Ads - Promo 17,Google Ads,2025-02-25,15963,318,12,2146.47,769.23,11,Middle East,Retirees
CMP_020,Instagram - Promo 20,Instagram,2025-02-25,6486,287,20,1948.6,2207.1,17,North America,Young Adults
CMP_006,Instagram - Promo 6,Instagram,2025-02-26,18547,889,121,3078.35,16892.05,107,Europe,Students
CMP_007,Email - Promo 7,Email,2025-02-26,7104,176,16,827.78,1176.51,15,Europe,Students
CMP_015,Instagram - Promo 15,Instagram,2025-02-26,8848,596,41,4402.53,2748.38,36,North America,General
CMP_010,Instagram - Promo 10,Instagram,2025-02-27,8446,260,42,822.53,6120.29,36,North America,Young Adults
CMP_014,Twitter - Promo 14,Twitter,2025-02-27,7764,372,27,1805.68,3240.84,26,Latin America,Professionals
CMP_001,Twitter - Promo 1,Twitter,2025-02-28,7202,496,31,364.76,2604.21,27,Latin America,Professionals
CMP_015,Instagram - Promo 15,Instagram,2025-02-28,9223,650,50,4811.45,1865.37,43,North America,Retirees
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-02-28,9937,251,39,922.13,1083.83,32,North America,Retirees
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-02-28,11272,232,27,1082.57,284.78,25,Asia-Pacific,Retirees
CMP_016,LinkedIn - Promo 16,LinkedIn,2025-03-01,8027,239,32,1023.5,401.37,25,Latin America,General
CMP_017,Google Ads - Promo 17,Google Ads,2025-03-01,15764,285,8,1956.57,657.36,7,Latin America,General
CMP_002,Twitter - Promo 2,Twitter,2025-03-02,24991,399,31,142.45,4941.02,25,Asia-Pacific,Students
CMP_004,Email - Promo 4,Email,2025-03-02,10154,698,16,2040.64,4632.17,15,Europe,Students
CMP_008,Facebook - Promo 8,Facebook,2025-03-02,14990,206,12,350.89,404.19,10,Middle East,Retirees
CMP_017,Google Ads - Promo 17,Google Ads,2025-03-02,18012,423,18,1828.48,1031.51,16,Middle East,Retirees
CMP_018,Email - Promo 18,Email,2025-03-02,11222,967,71,6300.19,5662.34,66,Asia-Pacific,Students
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-03-03,17191,813,96,2168.08,20154.22,94,Europe,Retirees
CMP_005,Instagram - Promo 5,Instagram,2025-03-03,12385,347,47,191.01,8874.45,46,Asia-Pacific,Retirees
CMP_006,Instagram - Promo 6,Instagram,2025-03-03,15586,880,87,3631.42,11284.83,78,North America,Professionals
CMP_015,Instagram - Promo 15,Instagram,2025-03-03,7656,382,30,2922.99,968.04,29,Middle East,Retirees
CMP_003,LinkedIn - Promo 3,LinkedIn,2025-03-04,13984,613,72,1667.24,13828.22,64,Latin America,General
